OrderMonth,monthly_revenue,order_count,customer_count,total_quantity,average_order_value,revenue_growth,revenue_growth_rate,order_count_growth,customer_count_growth,aov_growth,aov_growth_rate
2010-12,570422.73,1400,885,311048,407.44480714285714,,,,,,
2011-01,568101.31,987,741,348473,575.58390070922,-2321.4199999999255,-0.004069648486833444,-413.0,-144.0,168.13909356636282,0.41266716526690295
2011-02,446084.92,997,758,265027,447.4272016048144,-122016.39000000007,-0.21477927942113006,10.0,17.0,-128.15669910440556,-0.22265511413104866
2011-03,594081.76,1321,974,347582,449.72124148372444,147996.84000000003,0.33176830994421436,324.0,216.0,2.2940398789100414,0.005127180177427526
2011-04,468374.331,1149,856,291366,407.63649347258485,-125707.429,-0.21159954313359153,-172.0,-118.0,-42.084748011139595,-0.09357963140076109
2011-05,677355.15,1555,1056,372864,435.59816720257237,208980.81900000002,0.4461833306573755,406.0,200.0,27.961673729987524,0.06859462824779716
2011-06,660046.05,1393,991,363014,473.8306173725772,-17309.099999999977,-0.025553950538354964,-162.0,-65.0,38.232450170004824,0.08776999778381778
2011-07,598962.901,1331,949,367360,450.0096927122464,-61083.14900000009,-0.09254376872643977,-62.0,-42.0,-23.820924660330775,-0.05027308026741584
2011-08,644051.04,1280,935,397373,503.16487500000005,45088.13900000008,0.07527701452748259,-51.0,-14.0,53.15518228775363,0.11812008307506194
2011-09,950690.202,1755,1266,543652,541.7038188034188,306639.162,0.47611003314271483,475.0,331.0,38.53894380341876,0.07659307260551285
2011-10,1035642.45,1929,1364,591543,536.8804821150856,84952.2479999999,0.08935849745930158,174.0,98.0,-4.8233366883332565,-0.00890401086517656
2011-11,1156205.61,2657,1664,665923,435.15453895370723,120563.16000000015,0.11641388396159336,728.0,300.0,-101.72594316137832,-0.18947595703352904
2011-12,517190.44,778,615,286777,664.769203084833,-639015.1700000002,-0.5526829868953844,-1879.0,-1049.0,229.61466413112572,0.527662344240313
