OrderMonth,monthly_revenue,mom_growth_rate,mom_absolute_growth
2010-12,570422.73,,
2011-01,568101.31,-0.004069648486833444,-2321.4199999999255
2011-02,446084.92,-0.21477927942113006,-122016.39000000007
2011-03,594081.76,0.33176830994421436,147996.84000000003
2011-04,468374.331,-0.21159954313359153,-125707.429
2011-05,677355.15,0.4461833306573755,208980.81900000002
2011-06,660046.05,-0.025553950538354964,-17309.099999999977
2011-07,598962.901,-0.09254376872643977,-61083.14900000009
2011-08,644051.04,0.07527701452748259,45088.13900000008
2011-09,950690.202,0.47611003314271483,306639.162
2011-10,1035642.45,0.08935849745930158,84952.2479999999
2011-11,1156205.61,0.11641388396159336,120563.16000000015
2011-12,517190.44,-0.5526829868953844,-639015.1700000002
