Country,raw_revenue,robust_revenue,customer_count,order_count,repeat_buyer_rate,top1_customer_share,top3_customer_share,active_months,average_order_value,bulk_order_share,monthly_revenue_cv,recent_three_month_growth,customer_breadth_score,revenue_scale_score,repeat_behavior_score,continuity_score,concentration_safety_score,evidence_score,passes_pilot_gate,pilot_status,addressability_status
Germany,220694.23,207095.91,93,440,0.7096774193548387,0.07952242340001368,0.19606924023342162,12,501.5777954545455,0.004545454545454545,0.36470201093624716,0.5881943890684775,100.0,100.0,70.96774193548387,100.0,85.05494864999416,91.20453811709561,True,Pilot Eligible,Pending business review
France,201657.39,180159.8,86,371,0.6627906976744186,0.09370303761245743,0.24949202208756144,12,543.5509164420486,0.01078167115902965,0.5202429283184778,1.2104180182962598,97.22222222222221,97.22222222222221,66.27906976744185,100.0,81.28235717024802,88.26228538753797,True,Pilot Eligible,Pending business review
Belgium,39778.61,39778.61,25,94,0.72,0.11808331160892754,0.2962172383600131,12,423.17670212765955,0.0,0.47459107082434926,0.5730313525956363,91.66666666666666,86.11111111111111,72.0,100.0,77.50363323404211,85.03961553569732,True,Pilot Eligible,Pending business review
Spain,61242.35,57096.01,29,88,0.6551724137931034,0.2188067570888446,0.5055251798796095,12,695.9357954545454,0.011363636363636364,0.58080114918245,0.5734909302278406,94.44444444444444,91.66666666666666,65.51724137931035,100.0,60.91621892366964,82.23113650504045,False,Key-Account Market,Pending business review
Switzerland,56443.95,35159.94,21,51,0.7142857142857143,0.19617106882137064,0.46622995024267455,12,1106.7441176470588,0.0784313725490196,0.5606447881482491,0.4461416303363228,88.88888888888889,83.33333333333334,71.42857142857143,100.0,64.1793602325847,81.0104752211201,True,Pilot Eligible,Pending business review
Portugal,30567.65,30567.65,19,53,0.5789473684210527,0.256305276984001,0.5534373757878017,12,576.7481132075472,0.0,0.5856003460249898,1.2563004841011356,86.11111111111111,80.55555555555556,57.89473684210527,100.0,56.54154637337185,75.52614553198431,False,Monitor,Pending business review
Italy,17282.79,17282.79,14,37,0.42857142857142855,0.19315284164188767,0.47853558366444304,12,467.10243243243247,0.0,1.0026113725683827,2.564163376237116,83.33333333333334,61.111111111111114,42.857142857142854,100.0,63.561751314457915,69.33933438987572,False,Monitor,Pending business review
Finland,21313.32,21313.32,11,38,0.6363636363636364,0.3733092732619789,0.6611086400429403,11,560.8768421052631,0.0,0.8640503463402696,0.48801243517146187,79.16666666666666,66.66666666666666,63.63636363636363,91.66666666666666,45.40111066694443,68.68249486066162,False,Monitor,Pending business review
EIRE,258283.54,178875.33000000002,3,251,1.0,0.5293881677477396,1.0,12,1029.0180876494023,0.043824701195219126,0.5162472083089448,0.21811259199693178,40.27777777777778,94.44444444444444,100.0,100.0,18.824473290090417,67.72322799135142,False,Key-Account Market,Pending business review
Norway,33379.74,29012.96,10,33,0.6,0.32166757440291627,0.623191193220798,9,1011.5072727272727,0.030303030303030304,0.7603445114240768,1.1463396624232907,75.0,77.77777777777779,60.0,75.0,49.74182543063548,67.50392064168265,False,Monitor,Pending business review
Australia,138453.81,23541.93,9,57,1.0,0.9022108528468809,0.9616373865045678,12,2429.0142105263158,0.14035087719298245,0.7019508077038009,-0.4396044174399023,69.44444444444444,69.44444444444444,100.0,100.0,6.213322695850698,67.49266453917014,False,Key-Account Market,Pending business review
Channel Islands,20242.14,20242.14,9,25,0.6666666666666666,0.4019841775622537,0.6121348829718596,11,809.6856,0.0,0.7576174925713639,-0.21377418161455952,69.44444444444444,63.888888888888886,66.66666666666666,91.66666666666666,47.192539919198275,66.66073020606187,False,Monitor,Pending business review
Netherlands,273718.32,49822.27,9,91,0.5555555555555556,0.9808550629713056,0.9915137576469123,12,3007.8936263736264,0.26373626373626374,0.5661657723351206,0.39141866502251377,69.44444444444444,88.88888888888889,55.55555555555556,100.0,1.274972022333043,61.50499440446661,False,Key-Account Market,Pending business review
Denmark,18786.440000000002,10956.550000000001,8,17,0.75,0.41678412727477904,0.7748998745903961,10,1105.084705882353,0.11764705882352941,0.8660725088332116,1.2751328385109626,59.72222222222222,55.55555555555556,75.0,83.33333333333334,36.834642433585074,60.908595153383686,False,Monitor,Pending business review
Japan,37416.37,26872.65,8,19,0.625,0.5727276590433547,0.8610771167807033,10,1969.2826315789475,0.10526315789473684,0.8466525619682048,0.9262685299115252,59.72222222222222,75.0,62.5,83.33333333333334,25.426266631423612,60.01580888184028,False,Monitor,Pending business review
Austria,9515.48,9515.48,11,16,0.2727272727272727,0.27976097895219154,0.606629408080307,9,594.7175,0.0,0.4491805690687879,-0.12351044855485327,79.16666666666666,52.77777777777778,27.27272727272727,75.0,52.41179635709392,57.53412694818646,False,Monitor,Pending business review
Sweden,38129.83,24318.510000000002,8,35,0.5,0.8305523523183816,0.9306411804091442,12,1089.4237142857144,0.08571428571428572,0.6475904505669039,0.44757852279086263,59.72222222222222,72.22222222222221,50.0,100.0,10.939435082716088,56.562887016543215,False,Key-Account Market,Pending business review
Poland,7334.65,7334.65,6,19,0.6666666666666666,0.542815267258833,0.8672056608018106,11,386.03421052631575,0.0,0.6208289528163834,0.31947653114639674,52.77777777777778,50.0,66.66666666666666,91.66666666666666,26.255049661538045,55.52878771008538,False,Monitor,Pending business review
Cyprus,13502.85,13502.85,8,16,0.625,0.4673109750904439,0.8349104078027972,8,843.928125,0.0,1.0034942441465435,3.4949428478707683,59.72222222222222,58.333333333333336,62.5,66.66666666666666,31.212936528214406,55.3398095278651,False,Monitor,Pending business review
Unspecified,2660.77,2660.77,4,8,1.0,0.3902855188535649,0.8007418905053799,5,332.59625,0.0,0.5515895478239696,,48.61111111111111,30.555555555555557,100.0,41.66666666666667,36.34406581553461,51.78270205199581,False,Monitor,Pending business review
Iceland,4085.18,4085.18,1,6,1.0,1.0,1.0,6,680.8633333333333,0.0,0.4735174542778438,0.3378952482350144,13.88888888888889,44.44444444444444,100.0,50.0,0.0,39.861111111111114,False,Monitor,Pending business review
Singapore,21279.29,7224.14,1,7,1.0,1.0,1.0,4,3039.8985714285714,0.42857142857142855,0.5311715836033521,0.7895030030486259,13.88888888888889,47.22222222222222,100.0,33.33333333333333,0.0,37.91666666666667,False,Monitor,Pending business review
Israel,7215.839999999999,2342.0299999999997,3,5,0.6666666666666666,0.6754321049247212,1.0000000000000002,4,1443.1680000000001,0.2,1.171930280079071,-0.9790342228482242,40.27777777777778,27.77777777777778,66.66666666666666,33.33333333333333,12.982715803011136,36.55487649393555,False,Monitor,Pending business review
Canada,3666.3799999999997,3666.3799999999997,4,6,0.25,0.80189178426677,0.9859370823537114,5,611.0633333333334,0.0,0.9927139380720941,,48.61111111111111,38.88888888888889,25.0,41.66666666666667,8.768103688106521,32.93417629317686,False,Monitor,Pending business review
Greece,4079.5299999999997,4079.5299999999997,3,4,0.3333333333333333,0.6523398528752087,1.0,4,1019.8824999999999,0.0,1.077186814534412,,40.27777777777778,41.66666666666667,33.33333333333333,33.33333333333333,13.906405884991656,32.85072562144278,False,Monitor,Pending business review
Malta,2725.59,2725.59,2,5,0.5,0.6677783525768732,1.0,3,545.118,0.0,0.21116704283375556,-0.6249394599830488,30.555555555555557,36.11111111111111,50.0,25.0,13.288865896925072,31.268884290496125,False,Monitor,Pending business review
European Community,1300.25,1300.25,1,4,1.0,1.0,1.0,3,325.0625,0.0,0.5599758952174728,,13.88888888888889,16.666666666666664,100.0,25.0,0.0,30.555555555555557,False,Monitor,Pending business review
United Arab Emirates,1902.28,1902.28,2,3,0.5,0.5325398994890342,1.0,2,634.0933333333334,0.0,0.09203673435129903,,30.555555555555557,25.0,50.0,16.666666666666664,18.69840402043863,28.878569692976615,False,Monitor,Pending business review
Lithuania,1661.06,1661.06,1,4,1.0,1.0,1.0,1,415.265,0.0,0.0,,13.88888888888889,19.444444444444446,100.0,8.333333333333332,0.0,28.61111111111111,False,Monitor,Pending business review
Czech Republic,826.74,826.74,1,2,1.0,1.0,1.0,2,413.37,0.0,0.4649042770178771,,13.88888888888889,8.333333333333332,100.0,16.666666666666664,0.0,27.63888888888889,False,Monitor,Pending business review
USA,2695.15,2695.15,3,3,0.0,0.5860564347067881,1.0,2,898.3833333333333,0.0,1.0112769560445793,,40.27777777777778,33.33333333333333,0.0,16.666666666666664,16.557742611728475,22.547659633456806,False,Monitor,Pending business review
Bahrain,548.4,548.4,2,2,0.0,0.837709700948213,1.0,1,274.2,0.0,0.0,,30.555555555555557,5.555555555555555,0.0,8.333333333333332,6.491611962071486,11.298322392414297,False,Monitor,Pending business review
Lebanon,1693.88,1693.88,1,1,0.0,1.0,1.0,1,1693.88,0.0,0.0,,13.88888888888889,22.22222222222222,0.0,8.333333333333332,0.0,9.166666666666666,False,Monitor,Pending business review
Brazil,1143.6,1143.6,1,1,0.0,1.0,1.0,1,1143.6,0.0,0.0,,13.88888888888889,13.88888888888889,0.0,8.333333333333332,0.0,7.5,False,Monitor,Pending business review
RSA,1002.3100000000001,1002.3100000000001,1,1,0.0,1.0,1.0,1,1002.3100000000001,0.0,0.0,,13.88888888888889,11.11111111111111,0.0,8.333333333333332,0.0,6.944444444444445,False,Monitor,Pending business review
Saudi Arabia,145.92,145.92,1,1,0.0,1.0,1.0,1,145.92,0.0,0.0,,13.88888888888889,2.7777777777777777,0.0,8.333333333333332,0.0,5.277777777777778,False,Monitor,Pending business review
